id_campeonato,nombre_campeonato,nombre_torneo
1249,Atlético Francés 2025,Todo Competidor AARM
1251,Lucy López 2025,Todo Competidor AARM
1253,Torneo Mario Correa Letelier 2025,Torneo Mario Correa Letelier
1254,Metropolitano U18 2025,Metropolitano U18
1255,Copa O'Higgins Ejercito 2025,Copa O'Higgins Ejercito
1256,Metropolitano U20 2025,Metropolitano U20
1258,Torneo Guillermo García Huidobro 2025,Torneo Guillermo García Huidobro
1259,Campeonato de Colores La Maisonnette 2025,Campeonato de Colores La Maisonnette
1260,Adulto 2025,Campeonato Nacional
1261,U18 2025,Campeonato Nacional
1262,U16 2025,Campeonato Nacional
